target,model,decile,n,mean_pred,realized
is_hit,beast,0,18592,0.05752434184164025,0.052925989672977625
is_hit,beast,1,18122,0.08725945113128573,0.0801787882132215
is_hit,beast,2,18290,0.14137159519151932,0.13613996719518862
is_hit,beast,3,18347,0.20697613128527229,0.193328609581948
is_hit,beast,4,18533,0.23504410002298043,0.22829547294016078
is_hit,beast,5,18092,0.256266261341942,0.253537475127128
is_hit,beast,6,18344,0.2787067702350089,0.27354993458351506
is_hit,beast,7,18299,0.30459263849376317,0.29427837586753375
is_hit,beast,8,19032,0.33088382226447105,0.31940941572089115
is_hit,beast,9,17594,0.369253370955648,0.36171422075707627
is_hit,recency,0,18854,0.053692884457037016,0.0563275697464729
is_hit,recency,1,19799,0.09339022198604123,0.08263043588060003
is_hit,recency,2,16676,0.15749254530725676,0.15105540897097625
is_hit,recency,3,19828,0.21983554182887835,0.2064252572120234
is_hit,recency,4,17692,0.23687366516592817,0.23106488808501016
is_hit,recency,5,19430,0.25984724058541236,0.24822439526505405
is_hit,recency,6,16155,0.2753440352633669,0.2748994119467657
is_hit,recency,7,20576,0.2962108270551944,0.2994751166407465
is_hit,recency,8,16814,0.31708531846377025,0.3158082550255739
is_hit,recency,9,17421,0.3626194304987422,0.34464152459675107
is_hit,recent365,0,21947,0.061731999294789175,0.06078279491502255
is_hit,recent365,1,14878,0.09348388628636527,0.08072321548595242
is_hit,recent365,2,18451,0.16317490127123713,0.137119939298683
is_hit,recent365,3,18715,0.21299498179167448,0.2032594175794817
is_hit,recent365,4,17762,0.23545735702917053,0.2275081634951019
is_hit,recent365,5,18918,0.25341374762337,0.24558621418754625
is_hit,recent365,6,18184,0.2711457905568182,0.277771667399912
is_hit,recent365,7,18154,0.29232995078176094,0.29310344827586204
is_hit,recent365,8,18205,0.3193833830156734,0.3341389728096677
is_hit,recent365,9,18031,0.3553964591366805,0.33980367145471685
is_xbh,prod,0,18631,0.014304729677914985,0.014438301755139283
is_xbh,prod,1,19053,0.02300307681304661,0.018947147430850783
is_xbh,prod,2,17295,0.044452374888625676,0.03486556808326106
is_xbh,prod,3,18455,0.0728180584530724,0.0646437279869954
is_xbh,prod,4,18721,0.08625988992859436,0.07836119865391807
is_xbh,prod,5,18999,0.09623492499766027,0.08689931049002579
is_xbh,prod,6,17442,0.10526438401422182,0.1005618621717693
is_xbh,prod,7,18129,0.11636628557587793,0.10309448949197418
is_xbh,prod,8,18287,0.13057677982082724,0.12134303056816317
is_xbh,prod,9,18233,0.1540771254447665,0.14462787253880327
is_xbh,exp,0,18461,0.014103769181382071,0.014462921835220193
is_xbh,exp,1,18241,0.02233770741345734,0.01792664875829176
is_xbh,exp,2,18309,0.0421261305319994,0.03473701458299197
is_xbh,exp,3,18541,0.07197567488054744,0.06277978534059651
is_xbh,exp,4,18454,0.08638089073820103,0.08079549149235939
is_xbh,exp,5,18448,0.09565235698956026,0.08700130095403295
is_xbh,exp,6,17964,0.10430448465524043,0.09379870852816745
is_xbh,exp,7,18972,0.11599454220206581,0.11000421674045963
