mlbam_id,name,pos,team,IP,GS,G,W,L,ERA,WHIP,K9,BB9,K,BB,H_allowed,HR_allowed,role
666661,Juan Morillo,P,AZ,15.7,0,16,1,1,2.30,0.83,10.91,2.30,19,4,9,1,RP
660825,Eduard Bazardo,P,SEA,15.7,0,17,2,1,1.15,1.02,6.89,2.87,12,5,11,0,RP
673929,Jordan Leasure,P,CWS,15.3,1,15,2,1,6.46,1.30,8.80,4.70,15,8,12,5,SP
676263,Jack Dreyer,P,LAD,15.3,0,15,1,1,2.93,1.04,11.15,2.93,19,5,11,1,RP
623437,Justin Topa,P,MIN,15.3,0,19,0,1,4.70,1.63,5.28,3.52,9,6,19,3,RP
689296,Anthony Nunez,P,BAL,15.3,0,15,1,0,4.11,1.24,10.57,2.93,18,5,14,2,RP
671922,Cade Smith,P,CLE,15.3,0,15,2,0,3.52,1.30,10.57,2.35,18,4,16,1,RP
681867,Cooper Criswell,P,SEA,15.3,0,12,1,1,2.35,0.91,8.22,1.76,14,3,11,3,RP
663567,Peter Lambert,P,HOU,15.3,3,3,1,2,3.52,1.24,11.15,4.11,19,7,12,0,SP
666277,George Soriano,P,STL,15.3,0,16,1,0,3.52,1.17,7.63,5.28,13,9,9,1,RP
596001,Jakob Junis,P,TEX,15.3,0,14,0,0,1.76,0.72,3.52,2.35,6,4,7,0,RP
664875,Justin Lawrence,P,PIT,15.0,0,15,0,1,4.80,1.13,9.60,3.00,16,5,12,3,RP
592773,Ryne Stanek,P,STL,15.0,0,17,1,0,7.20,2.07,12.00,7.80,20,13,18,1,RP
702193,Andrew Morris,P,MIN,15.0,0,6,1,1,4.80,1.47,7.80,2.40,13,4,18,1,RP
656464,Kevin Ginkel,P,AZ,15.0,0,15,1,1,3.60,1.13,10.80,2.40,18,4,13,1,RP
687330,Kevin Kelly,P,TB,14.7,0,14,2,1,3.68,0.75,7.98,2.45,13,4,7,1,RP
642701,Dennis Santana,P,PIT,14.7,0,15,2,2,3.07,1.16,6.14,4.91,10,8,9,2,RP
663158,Robert Suarez,P,ATL,14.7,0,15,2,0,0.61,0.95,8.59,1.23,14,2,12,0,RP
